No,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,no_segmen,segmen,hari,volume_lalu_lintas,satuan,tahun
93,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  NARKOBA (BORR) - SIMPANG TALANG",HARI KERJA,1547.6,SMP/JAM,2016
94,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  TALANG - SIMPANG NARKOBA (BORR)",HARI KERJA,1412.49,SMP/JAM,2016
95,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  TALANG - SIMPANG POMAD",HARI KERJA,1044.05,SMP/JAM,2016
96,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  POMAD - SIMPANG TALANG",HARI KERJA,1237.06,SMP/JAM,2016
97,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  POMAD - SIMPANG CILUAR (BATAS KOTA)",HARI KERJA,1039.22,SMP/JAM,2016
98,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  CILUAR (BATAS KOTA) - SIMPANG POMAD",HARI KERJA,959.28,SMP/JAM,2016
99,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - UNDERPASS",HARI LIBUR,1157.73,SMP/JAM,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,1,"UNDERPASS
  - SIMPANG NARKOBA (BORR)",HARI LIBUR,1128.71,SMP/JAM,2016
101,32,JAWA BARAT,3271,KOTA BOGOR,2,"UNDERPASS
  - SIMPANG YASMIN",HARI LIBUR,1200.98,SMP/JAM,2016
102,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  YASMIN - UNDERPASS",HARI LIBUR,1506.68,SMP/JAM,2016
103,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  YASMIN - SIMPANG KAYU MANIS",HARI LIBUR,919.31,SMP/JAM,2016
104,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  KAYU MANIS - SIMPANG YASMIN",HARI LIBUR,951.29,SMP/JAM,2016
105,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  KAYU MANIS - SALABENDA (BATAS KOTA)",HARI LIBUR,859.25,SMP/JAM,2016
106,32,JAWA BARAT,3271,KOTA BOGOR,4,"SALABENDA
  (BATAS KOTA) - SIMPANG KAYU MANIS",HARI LIBUR,988.52,SMP/JAM,2016
107,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  WARUNG JAMBU - SIMPANG NARKOBA (BORR)",HARI KERJA,997.2,SMP/JAM,2017
108,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - SIMPANG WARUNG JAMBU",HARI KERJA,137900,SMP/JAM,2017
109,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  NARKOBA (BORR) - SIMPANG TALANG",HARI KERJA,240300,SMP/JAM,2017
110,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  TALANG - SIMPANG NARKOBA (BORR)",HARI KERJA,240300,SMP/JAM,2017
111,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  TALANG - SIMPANG POMAD",HARI KERJA,1772.7,SMP/JAM,2017
112,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  POMAD - SIMPANG TALANG",HARI KERJA,1772.7,SMP/JAM,2017
113,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  POMAD - SIMPANG CILUAR (BATAS KOTA)",HARI KERJA,1654.5,SMP/JAM,2017
114,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  CILUAR (BATAS KOTA) - SIMPANG POMAD",HARI KERJA,1654.5,SMP/JAM,2017
115,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - UNDERPASS",HARI LIBUR,1039.6,SMP/JAM,2017
116,32,JAWA BARAT,3271,KOTA BOGOR,1,"UNDERPASS
  - SIMPANG NARKOBA (BORR)",HARI LIBUR,1527.6,SMP/JAM,2017
117,32,JAWA BARAT,3271,KOTA BOGOR,2,"UNDERPASS
  - SIMPANG YASMIN",HARI LIBUR,256000,SMP/JAM,2017
118,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  YASMIN - UNDERPASS",HARI LIBUR,2560.5,SMP/JAM,2017
119,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  YASMIN - SIMPANG KAYU MANIS",HARI LIBUR,2560.5,SMP/JAM,2017
120,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  KAYU MANIS - SIMPANG YASMIN",HARI LIBUR,1654.5,SMP/JAM,2017
121,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  KAYU MANIS - SALABENDA (BATAS KOTA)",HARI LIBUR,1496.9,SMP/JAM,2017
122,32,JAWA BARAT,3271,KOTA BOGOR,4,"SALABENDA
  (BATAS KOTA) - SIMPANG KAYU MANIS",HARI LIBUR,1496.9,SMP/JAM,2017
123,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  WARUNG JAMBU - SIMPANG NARKOBA (BORR)",HARI KERJA,997.2,SMP/JAM,2018
124,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - SIMPANG WARUNG JAMBU",HARI KERJA,137900,SMP/JAM,2018
125,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  NARKOBA (BORR) - SIMPANG TALANG",HARI KERJA,240300,SMP/JAM,2018
126,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  TALANG - SIMPANG NARKOBA (BORR)",HARI KERJA,240300,SMP/JAM,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  TALANG - SIMPANG POMAD",HARI KERJA,1772.7,SMP/JAM,2018
128,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  POMAD - SIMPANG TALANG",HARI KERJA,1772.7,SMP/JAM,2018
129,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  POMAD - SIMPANG CILUAR (BATAS KOTA)",HARI KERJA,1654.5,SMP/JAM,2018
130,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  CILUAR (BATAS KOTA) - SIMPANG POMAD",HARI KERJA,1654.5,SMP/JAM,2018
131,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - UNDERPASS",HARI LIBUR,1039.6,SMP/JAM,2018
132,32,JAWA BARAT,3271,KOTA BOGOR,1,"UNDERPASS
  - SIMPANG NARKOBA (BORR)",HARI LIBUR,1612.4,SMP/JAM,2018
133,32,JAWA BARAT,3271,KOTA BOGOR,2,"UNDERPASS
  - SIMPANG YASMIN",HARI LIBUR,2875.7,SMP/JAM,2018
134,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  YASMIN - UNDERPASS",HARI LIBUR,2875.7,SMP/JAM,2018
135,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  YASMIN - SIMPANG KAYU MANIS",HARI LIBUR,1654.5,SMP/JAM,2018
136,32,JAWA BARAT,3271,KOTA BOGOR,3,"SIMPANG
  KAYU MANIS - SIMPANG YASMIN",HARI LIBUR,1654.5,SMP/JAM,2018
137,32,JAWA BARAT,3271,KOTA BOGOR,4,"SIMPANG
  KAYU MANIS - SALABENDA (BATAS KOTA)",HARI LIBUR,1496.9,SMP/JAM,2018
138,32,JAWA BARAT,3271,KOTA BOGOR,4,"SALABENDA
  (BATAS KOTA) - SIMPANG KAYU MANIS",HARI LIBUR,1496.9,SMP/JAM,2018
139,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  WARUNG JAMBU - SIMPANG NARKOBA (BORR)",HARI KERJA,1529.61,SMP/JAM,2019
140,32,JAWA BARAT,3271,KOTA BOGOR,1,"SIMPANG
  NARKOBA (BORR) - SIMPANG WARUNG JAMBU",HARI KERJA,1229.66,SMP/JAM,2019
141,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  NARKOBA (BORR) - SIMPANG TALANG",HARI KERJA,1578.55,SMP/JAM,2019
142,32,JAWA BARAT,3271,KOTA BOGOR,2,"SIMPANG
  TALANG - SIMPANG NARKOBA (BORR)",HARI KERJA,1440.73,SMP/JAM,2019
